sets,release_year,num_parts,media_franchise,inception,original_medium,revenue
Spider-Man: Daily Bugle Showdown,2013,477,Spider-Man,1962,Comic book,25.4
Iron Man: Extremis Sea Port Battle,2013,196,Iron Man,1963,Comic book,2.8899999999999997
Iron Man: Malibu Mansion Attack,2013,365,Iron Man,1963,Comic book,2.8899999999999997
Iron Man vs. The Mandarin: Ultimate Showdown,2013,91,Iron Man,1963,Comic book,2.8899999999999997
Superman: Black Zero Escape,2013,169,DC Comics,2013,Film,7.76
Batman: The Penguin Face off,2014,137,Batman,1939,Comic book,29.6
Batman: Man-Bat Attack,2014,185,Batman,1939,Comic book,29.6
Batman: The Riddler Chase,2014,305,Batman,1939,Comic book,29.6
Batman: The Joker Steam Roller,2014,488,Batman,1939,Comic book,29.6
Spider-Trike vs. Electro,2014,70,Spider-Man,1962,Comic book,25.4
Doc Ock Truck Heist,2014,238,Spider-Man,1962,Comic book,25.4
Spider-Helicopter Rescue,2014,300,Spider-Man,1962,Comic book,25.4
Captain America vs. Hydra,2014,173,Avengers,1963,Comic book,14.3
Hulk Lab Smash,2014,399,Avengers,1963,Comic book,14.3
Starblaster Showdown,2014,197,Guardians of the Galaxy,1969,Comic book,2.15
Knowhere Escape Mission,2014,434,Guardians of the Galaxy,1969,Comic book,2.15
The Milano Spaceship Rescue,2014,667,Guardians of the Galaxy,1969,Comic book,2.15
X-Men vs. The Sentinel,2014,337,X-Men,1963,Comic book,6.9
Green Lantern vs. Sinestro,2015,176,DC Comics,2013,Film,7.76
Gorilla Grodd Goes Bananas,2015,348,DC Comics,2013,Film,7.76
Black Manta Deep Sea Strike,2015,389,DC Comics,2013,Film,7.76
Darkseid Invasion,2015,547,DC Comics,2013,Film,7.76
Iron Man vs. Ultron,2015,92,Avengers,1963,Comic book,14.3
Avengers Hydra Showdown,2015,221,Avengers,1963,Comic book,14.3
The Hulk Buster Smash,2015,249,Avengers,1963,Comic book,14.3
The Avengers Quinjet City Chase,2015,723,Avengers,1963,Comic book,14.3
Batboat Harbor Pursuit,2015,265,Batman,1939,Comic book,29.6
Jokerland,2015,1038,Batman,1939,Comic book,29.6
Carnage's SHIELD Sky Attack,2015,97,Spider-Man,1962,Comic book,25.4
Rhino and Sandman Super Villain Team-up,2015,387,Spider-Man,1962,Comic book,25.4
Attack on Avengers Tower,2015,516,Avengers,1963,Comic book,14.3
Ant-Man Final Battle,2015,196,Marvel,2008,Film,32.2
Brainiac Attack,2015,179,DC Comics,2013,Film,7.76
The Hydra Fortress Smash,2015,405,Avengers,1963,Comic book,14.3
The SHIELD Helicarrier,2015,2996,Avengers,1963,Comic book,14.3
Clash of the Heroes,2016,91,DC Comics,2013,Film,7.76
Kryptonite Interception,2016,307,DC Comics,2013,Film,7.76
Heroes of Justice: Sky High Battle,2016,518,DC Comics,2013,Film,7.76
Black Panther Pursuit,2016,288,Marvel,2008,Film,32.2
Iron Skull Sub Attack,2016,335,Avengers,1963,Comic book,14.3
Avenjet Space Mission,2016,524,Avengers,1963,Comic book,14.3
Crossbones' Hazard Heist,2016,180,Marvel,2008,Film,32.2
Super Hero Airport Battle,2016,808,Marvel,2008,Film,32.2
Batman Classic TV Series - Batcave,2016,2526,Batman,1939,Comic book,29.6
Batman: Gotham City Cycle Chase,2016,224,Batman,1939,Comic book,29.6
Batman: Scarecrow Harvest of Fear,2016,564,Batman,1939,Comic book,29.6
Batman: Killer Croc Sewer Smash,2016,760,Batman,1939,Comic book,29.6
Batman: Rescue from Ra's al Ghul,2016,257,Batman,1939,Comic book,29.6
Spider-Man: Web Warriors Ultimate Bridge Battle,2016,1093,Spider-Man,1962,Comic book,25.4
Spider-Man: Ghost Rider Team-up,2016,218,Spider-Man,1962,Comic book,25.4
Spider-Man: Doc Ock's Tentacle Trap,2016,447,Spider-Man,1962,Comic book,25.4
Doctor Strange's Sanctum Sanctorum,2016,359,Marvel,2008,Film,32.2
Mighty Micros: Spider-Man vs. Green Goblin,2016,85,Marvel,2008,Film,32.2
Mighty Micros: Captain America vs. Red Skull,2016,95,Marvel,2008,Film,32.2
Mighty Micros: Hulk vs. Ultron,2016,80,Marvel,2008,Film,32.2
Tanker Truck Takedown,2016,330,Marvel,2008,Film,32.2
Mighty Micros: Spider-Man vs. Scorpion,2017,79,Marvel,2008,Film,32.2
Mighty Micros: Iron Man vs. Thanos,2017,94,Marvel,2008,Film,32.2
Mighty Micros: Wolverine vs. Magneto,2017,84,Marvel,2008,Film,32.2
Captain America Jet Pursuit,2017,161,Avengers,1963,Comic book,14.3
Iron Man: Detroit Steel Strikes,2017,378,Avengers,1963,Comic book,14.3
Hulk vs. Red Hulk,2017,376,Avengers,1963,Comic book,14.3
Ravager Attack,2017,198,Guardians of the Galaxy,1969,Comic book,2.15
Ayesha's Revenge,2017,324,Guardians of the Galaxy,1969,Comic book,2.15
The Milano vs. The Abilisk,2017,462,Guardians of the Galaxy,1969,Comic book,2.15
ATM Heist Battle,2017,186,Spider-Man,1962,Comic book,25.4
Beware the Vulture,2017,376,Spider-Man,1962,Comic book,25.4
The Ultimate Battle for Asgard,2017,401,Marvel,2008,Film,32.2
Battle of Atlantis,2017,198,DC Comics,2013,Film,7.76
Knightcrawler Tunnel Attack,2017,623,DC Comics,2013,Film,7.76
Flying Fox: Batmobile Airlift Attack,2017,956,DC Comics,2013,Film,7.76
Thor vs. Hulk: Arena Clash,2017,493,Marvel,2008,Film,32.2
Mighty Micros: Scarlet Spider vs. Sandman,2018,89,Marvel,2008,Film,32.2
Mighty Micros: Star-Lord vs. Nebula,2018,86,Marvel,2008,Film,32.2
Mighty Micros: Thor vs. Loki,2018,79,Marvel,2008,Film,32.2
Superman & Krypto Team-Up,2018,208,DC Comics,2013,Film,7.76
Lex Luthor Mech Takedown,2018,415,DC Comics,2013,Film,7.76
Speed Force Freeze Pursuit,2018,280,DC Comics,2013,Film,7.76
Rhino Face-Off by the Mine,2018,229,Marvel,2008,Film,32.2
Royal Talon Fighter Attack,2018,358,Marvel,2008,Film,32.2
Outrider Dropship Attack,2018,124,Avengers,1963,Comic book,14.3
Thor's Weapon Quest,2018,229,Avengers,1963,Comic book,14.3
Corvus Glaive Thresher Attack,2018,416,Avengers,1963,Comic book,14.3
The Hulkbuster Smash-Up,2018,375,Avengers,1963,Comic book,14.3
The Hulkbuster: Ultron Edition,2018,1363,Avengers,1963,Comic book,14.3
Thanos: Ultimate Battle,2018,681,Avengers,1963,Comic book,14.3
Sanctum Sanctorum Showdown,2018,1011,Avengers,1963,Comic book,14.3
Quantum Realm Explorers,2018,200,Marvel,2008,Film,32.2
Batman: The Attack of the Talons,2018,165,Batman,1939,Comic book,29.6
Batman: Brother Eye Takedown,2018,279,Batman,1939,Comic book,29.6
App-Controlled Batmobile,2018,331,Batman,1939,Comic book,29.6
Spider-Man Bike Rescue,2019,243,Spider-Man,1962,Comic book,25.4
Spider-Man's Spider Crawler,2019,426,Spider-Man,1962,Comic book,25.4
Spider Mech vs. Venom,2019,612,Spider-Man,1962,Comic book,25.4
Batman Batsub and the Underwater Clash,2019,183,Batman,1939,Comic book,29.6
Batman Mech vs. Poison Ivy Mech,2019,394,Batman,1939,Comic book,29.6
Mr. Freeze Batcycle Battle,2019,212,Batman,1939,Comic book,29.6
Batmobile: Pursuit of The Joker,2019,352,Batman,1939,Comic book,29.6
Batman Batwing and The Riddler Heist,2019,501,Batman,1939,Comic book,29.6
Batcave Clayface Invasion,2019,1073,Batman,1939,Comic book,29.6
Captain America: Outriders Attack,2019,176,Avengers,1963,Comic book,14.3
War Machine Buster,2019,362,Avengers,1963,Comic book,14.3
Iron Man Hall of Armour,2019,524,Avengers,1963,Comic book,14.3
Avengers Ultimate Quinjet,2019,838,Avengers,1963,Comic book,14.3
Captain Marvel and The Skrull Attack,2019,307,Marvel,2008,Film,32.2
Molten Man Battle,2019,302,Spider-Man,1962,Comic book,25.4
Hydro-Man Attack,2019,479,Spider-Man,1962,Comic book,25.4
Stark Jet and the Drone Attack,2019,504,Spider-Man,1962,Comic book,25.4
Avengers Compound Battle,2019,704,Avengers,1963,Comic book,14.3
Spider-Man Car Chase,2019,52,Spider-Man,1962,Comic book,25.4
Spider-Man: Doc Ock Diamond Heist,2019,151,Spider-Man,1962,Comic book,25.4
Batman vs. The Riddler Robbery,2019,59,Batman,1939,Comic book,29.6
Batman and The Joker Escape,2019,171,Batman,1939,Comic book,29.6
Iron Man Mech,2020,148,Avengers,1963,Comic book,14.3
Thanos Mech,2020,152,Avengers,1963,Comic book,14.3
Avengers Speeder Bike Attack,2020,251,Avengers,1963,Comic book,14.3
Avengers Truck Take-down,2020,486,Avengers,1963,Comic book,14.3
Avengers Hulk Helicopter Rescue,2019,483,Avengers,1963,Comic book,14.3
Eternals' Aerial Assault,2021,133,Marvel,2008,Film,32.2
Spider-Man Mech,2020,160,Spider-Man,1962,Comic book,25.4
Vulture's Trucker Robbery,2020,93,Spider-Man,1962,Comic book,25.4
Spider-Man vs. Doc Ock,2020,242,Spider-Man,1962,Comic book,25.4
The Menace of Mysterio,2020,163,Spider-Man,1962,Comic book,25.4
Spiderjet vs. Venom Mech,2020,383,Spider-Man,1962,Comic book,25.4
Venomosaurus Ambush,2020,648,Spider-Man,1962,Comic book,25.4
Avengers Wrath of Loki,2020,223,Avengers,1963,Comic book,14.3
Avengers Helicarrier,2020,1248,Avengers,1963,Comic book,14.3
Deviant Ambush!,2021,197,Marvel,2008,Film,32.2
In Arishem's Shadow,2021,493,Marvel,2008,Film,32.2
Rise of the Domo,2021,1049,Marvel,2008,Film,32.2
Batboat The Penguin Pursuit!,2020,54,Batman,1939,Comic book,29.6
Joker's Trike Chase,2020,440,Batman,1939,Comic book,29.6
Mobile Bat Base,2020,743,Batman,1939,Comic book,29.6
Black Widow's Helicopter Chase,2020,271,Marvel,2008,Film,32.2
Venom Crawler,2020,413,Spider-Man,1962,Comic book,25.4
Iron Man Hulkbuster versus A.I.M. Agent,2020,456,Avengers,1963,Comic book,14.3
Iron Man,2020,480,Iron Man,1963,Comic book,2.8899999999999997
Avengers Tower Battle,2020,718,Avengers,1963,Comic book,14.3
Iron Man Armory,2020,258,Avengers,1963,Comic book,14.3
Captain America Mech Armor,2021,121,Avengers,1963,Comic book,14.3
Thor Mech Armor,2021,139,Avengers,1963,Comic book,14.3
Iron Man vs. Thanos,2021,103,Avengers,1963,Comic book,14.3
Miles Morales Mech Armor,2021,129,Spider-Man,1962,Comic book,25.4
Spider-Man and Sandman Showdown,2021,45,Spider-Man,1962,Comic book,25.4
Spider-Man and Ghost Rider vs. Carnage,2021,221,Spider-Man,1962,Comic book,25.4
Spider-Man's Monster Truck vs. Mysterio,2021,447,Spider-Man,1962,Comic book,25.4
Attack on the Spider Lair,2021,482,Spider-Man,1962,Comic book,25.4
Escape From The Ten Rings,2021,321,Marvel,2008,Film,32.2
Battle at the Ancient Village,2021,406,Marvel,2008,Film,32.2
Daily Bugle,2021,3803,Spider-Man,1962,Comic book,25.4
Batman & Selina Kyle Motorcycle Pursuit,2021,149,Batman,1939,Comic book,29.6
Batman vs. The Joker: Batmobile Chase,2021,136,Batman,1939,Comic book,29.6
Batmobile: The Penguin Chase,2021,402,Batman,1939,Comic book,29.6
Batman Cowl,2021,410,Batman,1939,Comic book,29.6
Batcave: The Riddler Face-off,2021,590,Batman,1939,Comic book,29.6
Spider-Man vs. Mysterio's Drone Attack,2021,73,Spider-Man,1962,Comic book,25.4
Spider-Man at the Sanctum Workshop,2021,371,Spider-Man,1962,Comic book,25.4
Black Panther Dragon Flyer,2021,202,Avengers,1963,Comic book,14.3
Venom,2021,565,Marvel,2008,Film,32.2
Batman Classic TV Series Batmobile,2021,345,Batman,1939,Comic book,29.6
Captain America and Hydra Face-Off,2021,49,Marvel,2008,Film,32.2
Iron Man: Iron Monger Mayhem,2021,488,Avengers,1963,Comic book,14.3
Infinity Gauntlet,2021,590,Marvel,2008,Film,32.2
Avengers: Endgame Final Battle,2021,537,Avengers,1963,Comic book,14.3
The Guardians' Ship,2021,1901,Avengers,1963,Comic book,14.3
Tony Stark's Sakaarian Iron Man,2021,369,Iron Man,1963,Comic book,2.8899999999999997
Spider-Man's Drone Duel,2021,206,Spider-Man,1962,Comic book,25.4
Marvel The Avengers Advent Calendar 2021,2021,325,Marvel,2008,Film,32.2
Spider-Man & Doctor Octopus Mech Battle,2021,312,Spider-Man,1962,Comic book,25.4
Carnage,2021,546,Spider-Man,1962,Comic book,25.4
Bro Thor's New Asgard,2021,265,Marvel,2008,Film,32.2
Indiana Jones Motorcycle Chase,2008,79,Indiana Jones,1981,Film,2.6
Captain Carter & The Hydra Stomper,2021,343,Marvel,2008,Film,32.2
Wolverine Mech Armor,2022,142,Marvel,2008,Film,32.2
Iron Man Mech Armor,2022,131,Marvel,2008,Film,32.2
Black Panther Mech Armor,2022,125,Marvel,2008,Film,32.2
Gargantos Showdown,2022,264,Marvel,2008,Film,32.2
Iron Man Figure,2022,381,Marvel,2008,Film,32.2
Attack on New Asgard,2022,159,Marvel,2008,Film,32.2
The Goat Boat,2022,564,Marvel,2008,Film,32.2
Thor's Hammer,2022,979,Marvel,2008,Film,32.2
Hulkbuster,2022,4049,Marvel,2008,Film,32.2
Indiana Jones and the Lost Tomb,2008,277,Indiana Jones,1981,Film,2.6
Shuri's Sunbird,2022,355,Marvel,2008,Film,32.2
Shuri's Lab,2022,58,Marvel,2008,Film,32.2
King Namor's Throne Room,2022,355,Marvel,2008,Film,32.2
Black Panther: War on the Water,2022,553,Marvel,2008,Film,32.2
Black Panther,2022,2961,Marvel,2008,Film,32.2
Iron Man Armory,2022,509,Marvel,2008,Film,32.2
I Am Groot,2022,476,Guardians of the Galaxy,1969,Comic book,2.15
Sanctum Sanctorum,2022,2713,Marvel,2008,Film,32.2
Spider-Man & Green Goblin Mech Battle,2022,296,Spider-Man,1962,Comic book,25.4
Batman versus Harley Quinn,2022,42,Batman,1939,Comic book,29.6
Race for the Stolen Treasure,2008,275,Indiana Jones,1981,Film,2.6
Nano Gauntlet,2022,675,Marvel,2008,Film,32.2
Batmobile: Batman vs. The Joker Chase,2023,438,Batman,1939,Comic book,29.6
Miles Morales,2022,242,Spider-Man,1962,Comic book,25.4
Spider-Man,2022,262,Spider-Man,1962,Comic book,25.4
Venom,2022,296,Spider-Man,1962,Comic book,25.4
Temple Escape,2008,560,Indiana Jones,1981,Film,2.6
Guardians of the Galaxy Advent Calendar 2022,2022,271,Marvel,2008,Film,32.2
The Hoopty,2023,429,Marvel,2008,Film,32.2
Sanctuary II: Endgame Battle,2021,331,Avengers,1963,Comic book,14.3
Classic TV Series Batman Cowl,2021,372,Batman,1939,Comic book,29.6
Batmobile Tumbler: Scarecrow Showdown,2021,422,Batman,1939,Comic book,29.6
Jungle Duel,2008,91,Indiana Jones,1981,Film,2.6
Hulk Mech Armor,2023,138,Avengers,1963,Comic book,14.3
Thanos Mech Armor,2023,113,Avengers,1963,Comic book,14.3
Rocket Mech Armor,2023,98,Avengers,1963,Comic book,14.3
Miles Morales vs. Morbius,2023,223,Spider-Man,1962,Comic book,25.4
Ghost Rider Mech & Bike,2023,264,Marvel,2008,Film,32.2
The Hulkbuster: The Battle of Wakanda,2023,385,Marvel,2008,Film,32.2
The Avengers Quinjet,2023,795,Marvel,2008,Film,32.2
Venomized Groot,2023,630,Guardians of the Galaxy,1969,Comic book,2.15
Wolverine's Adamantium Claws,2023,596,Marvel,2008,Film,32.2
River Chase,2008,234,Indiana Jones,1981,Film,2.6
Star-Lord's Helmet,2023,602,Marvel,2008,Film,32.2
Guardians of the Galaxy Headquarters,2023,67,Guardians of the Galaxy,1969,Comic book,2.15
Baby Rocket's Ship,2023,330,Marvel,2008,Film,32.2
The New Guardians' Ship,2023,1109,Guardians of the Galaxy,1969,Comic book,2.15
Ant-Man Construction Figure,2023,289,Marvel,2008,Film,32.2
Wolverine Construction Figure,2023,327,Marvel,2008,Film,32.2
Captain America Construction Figure,2023,310,Marvel,2008,Film,32.2
Batman Construction Figure,2023,275,Batman,1939,Comic book,29.6
Black Widow & Captain America Motorcycles,2023,130,Marvel,2008,Film,32.2
Jungle Cutter,2008,516,Indiana Jones,1981,Film,2.6
Spider-Man Final Battle,2023,906,Spider-Man,1962,Comic book,25.4
Captain America's Shield,2023,3128,Marvel,2008,Film,32.2
Iron Man Hulkbuster vs. Thanos,2023,66,Iron Man,1963,Comic book,2.8899999999999997
Batmobile Pursuit: Batman vs. The Joker,2023,54,Batman,1939,Comic book,29.6
Batwing: Batman vs. The Joker,2023,357,Batman,1939,Comic book,29.6
Endgame Final Battle,2023,794,Avengers,1963,Comic book,14.3
Avengers Advent Calendar 2023,2023,251,Marvel,2008,Film,32.2
Avengers Towers,2023,0,Avengers,1963,Comic book,14.3
Temple of the Crystal Skull,2008,930,Indiana Jones,1981,Film,2.6
Peril in Peru,2008,626,Indiana Jones,1981,Film,2.6
Hogwarts Moment: Transfiguration Class,2021,241,Harry Potter,1997,Novel,34.5
Hogwarts Moment: Potions Class,2021,271,Harry Potter,1997,Novel,34.5
Hogwarts Moment: Herbology Class,2021,233,Harry Potter,1997,Novel,34.5
Hogwarts Moment: Charms Class,2021,256,Harry Potter,1997,Novel,34.5
Hogwarts: Polyjuice Potion Mistake,2021,215,Harry Potter,1997,Novel,34.5
Hogwarts: Fluffy Encounter,2021,395,Harry Potter,1997,Novel,34.5
Hogsmeade Village Visit,2021,847,Harry Potter,1997,Novel,34.5
Hogwarts Chamber Of Secrets,2021,1172,Harry Potter,1997,Novel,34.5
Harry Potter Advent Calendar 2021,2021,272,Harry Potter,1997,Novel,34.5
Hogwarts Icons Collectors' Edition,2021,3012,Harry Potter,1997,Novel,34.5
Hogwarts Wizard's Chess,2021,873,Harry Potter,1997,Novel,34.5
Harry Potter & Hermione Granger,2021,1673,Harry Potter,1997,Novel,34.5
"Fawkes, Dumbledore's Phoenix",2021,597,Harry Potter,1997,Novel,34.5
Hogwarts: First Flying Lesson,2021,262,Harry Potter,1997,Novel,34.5
Hogwarts Moment: Divination Class,2022,298,Harry Potter,1997,Novel,34.5
Hogwarts Moment: Defence Against the Dark Arts Class,2022,257,Harry Potter,1997,Novel,34.5
Hogwarts Hospital Wing,2022,509,Harry Potter,1997,Novel,34.5
Hogwarts Magical Trunk,2022,602,Harry Potter,1997,Novel,34.5
Hogwarts Carriage and Thestrals,2022,121,Harry Potter,1997,Novel,34.5
Hogwarts Courtyard: Sirius's Rescue,2022,343,Harry Potter,1997,Novel,34.5
Hogwarts: Dumbledore's Office,2022,651,Harry Potter,1997,Novel,34.5
The Ministry of Magic,2022,990,Harry Potter,1997,Novel,34.5
Harry Potter Advent Calendar 2022,2022,334,Harry Potter,1997,Novel,34.5
Hogwarts Express - Collectors' Edition,2022,5147,Harry Potter,1997,Novel,34.5
Hungarian Horntail Dragon,2022,671,Harry Potter,1997,Novel,34.5
The Shrieking Shack & Whomping Willow,2022,773,Harry Potter,1997,Novel,34.5
12 Grimmauld Place,2022,1086,Harry Potter,1997,Novel,34.5
Gryffindor House Banner,2023,285,Harry Potter,1997,Novel,34.5
Slytherin House Banner,2023,352,Harry Potter,1997,Novel,34.5
Ravenclaw House Banner,2023,305,Harry Potter,1997,Novel,34.5
Hufflepuff House Banner,2023,313,Harry Potter,1997,Novel,34.5
Hogwarts: Room of Requirement,2023,587,Harry Potter,1997,Novel,34.5
Expecto Patronum,2023,754,Harry Potter,1997,Novel,34.5
The Battle of Hogwarts,2023,740,Harry Potter,1997,Novel,34.5
Quidditch Trunk,2023,599,Harry Potter,1997,Novel,34.5
Gringotts Wizarding Bank – Collectors' Edition,2023,4809,Harry Potter,1997,Novel,34.5
Harry Potter Advent Calendar 2023,2023,227,Harry Potter,1997,Novel,34.5
Hogwarts Castle and Grounds,2023,2660,Harry Potter,1997,Novel,34.5
Triwizard Tournament: The Black Lake,2023,349,Harry Potter,1997,Novel,34.5
Dobby the House Elf,2023,403,Harry Potter,1997,Novel,34.5
Diagon Alley Weasleys' Wizard Wheezes,2023,835,Harry Potter,1997,Novel,34.5
Hogwarts Express & Hogsmeade Station,2023,1076,Harry Potter,1997,Novel,34.5
Droids Battle Pack,2007,102,Star Wars,1977,Film,46.7
Clone Troopers Battle Pack,2007,58,Star Wars,1977,Film,46.7
General Grievous Starfighter,2007,232,Star Wars,1977,Film,46.7
AT-ST,2007,243,Star Wars,1977,Film,46.7
Y-wing Fighter,2007,454,Star Wars,1977,Film,46.7
Imperial Landing Craft,2007,471,Star Wars,1977,Film,46.7
Naboo N-1 Starfighter and Vulture Droid,2007,280,Star Wars,1977,Film,46.7
Jedi Starfighter with Hyperdrive Booster Ring,2007,575,Star Wars,1977,Film,46.7
Trade Federation MTT,2007,1326,Star Wars,1977,Film,46.7
Sith Infiltrator,2007,310,Star Wars,1977,Film,46.7
TIE Crawler,2007,546,Star Wars,1977,Film,46.7
Republic Cruiser (Limited Edition - with R2-R7),2007,919,Star Wars,1977,Film,46.7
Hoth Rebel Base,2007,558,Star Wars,1977,Film,46.7
Imperial Dropship,2008,81,Star Wars,1977,Film,46.7
Rebel Scout Speeder,2008,82,Star Wars,1977,Film,46.7
Anakin's Jedi Starfighter,2008,145,Star Wars,1977,Film,46.7
Anakin's Jedi Starfighter Clone Wars White Box,2008,152,Star Wars,1977,Film,46.7
Hailfire Droid & Spider Droid,2008,249,Star Wars,1977,Film,46.7
Hailfire Droid & Spider Droid Clone Wars White Box,2008,249,Star Wars,1977,Film,46.7
AT-AP Walker,2008,392,Star Wars,1977,Film,46.7
Rogue Shadow,2008,482,Star Wars,1977,Film,46.7
Magna Guard Starfighter,2008,431,Star Wars,1977,Film,46.7
V-19 Torrent,2008,471,Star Wars,1977,Film,46.7
AT-TE Walker,2008,810,Star Wars,1977,Film,46.7
Republic Attack Gunship,2008,1038,Star Wars,1977,Film,46.7
Droid Gunship,2008,329,Star Wars,1977,Film,46.7
Republic Fighter Tank,2008,596,Star Wars,1977,Film,46.7
The Twilight - Limited Edition,2008,887,Star Wars,1977,Film,46.7
Separatist Spider Droid,2008,221,Star Wars,1977,Film,46.7
Shanghai Chase,2009,244,Indiana Jones,1981,Film,2.6
Fight on the Flying Wing,2009,376,Indiana Jones,1981,Film,2.6
Stygimoloch Dinosaur Escape,2021,129,Jurassic World,1990,Novel,8.82
T. rex Dinosaur Fossil Exhibition,2021,198,Jurassic World,1990,Novel,8.82
Carnotaurus Dinosaur Chase,2021,240,Jurassic World,1990,Novel,8.82
Baryonyx Dinosaur Boat Escape,2021,309,Jurassic World,1990,Novel,8.82
Pteranodon Chase,2022,94,Jurassic World,1990,Novel,8.82
T. rex Dinosaur Breakout,2022,140,Jurassic World,1990,Novel,8.82
Atrociraptor Dinosaur: Bike Chase,2022,169,Jurassic World,1990,Novel,8.82
Blue & Beta Velociraptor Capture,2022,181,Jurassic World,1990,Novel,8.82
Quetzalcoatlus Plane Ambush,2022,306,Jurassic World,1990,Novel,8.82
T. rex & Atrociraptor Dinosaur Breakout,2022,466,Jurassic World,1990,Novel,8.82
Giganotosaurus & Therizinosaurus Attack,2022,810,Jurassic World,1990,Novel,8.82
Triceratops Pickup Truck Ambush,2022,210,Jurassic World,1990,Novel,8.82
Pyroraptor & Dilophosaurus Transport,2022,254,Jurassic World,1990,Novel,8.82
T. rex Breakout,2022,1212,Jurassic World,1990,Novel,8.82
Velociraptor Escape,2023,137,Jurassic World,1990,Novel,8.82
Dilophosaurus Ambush,2023,211,Jurassic World,1990,Novel,8.82
Triceratops Research,2023,281,Jurassic World,1990,Novel,8.82
Brachiosaurus Discovery,2023,512,Jurassic World,1990,Novel,8.82
Visitor Center: T. rex & Raptor Attack,2023,693,Jurassic World,1990,Novel,8.82
Baby Dinosaur Rescue Center,2024,0,Jurassic World,1990,Novel,8.82
Dinosaur Fossils: T. rex Skull,2024,0,Jurassic World,1990,Novel,8.82
Sonic's Speed Sphere Challenge,2023,292,Sonic The Hedgehog,1991,Video game,5.76
Tails' Workshop and Tornado Plane,2023,376,Sonic The Hedgehog,1991,Video game,5.76
Amy's Animal Rescue Island,2023,388,Sonic The Hedgehog,1991,Video game,5.76
Sonic vs Dr Eggman's Death Egg Robot,2023,615,Sonic The Hedgehog,1991,Video game,5.76
Sonic's Green Hill Zone Loop Challenge,2023,802,Sonic The Hedgehog,1991,Video game,5.76
Shadow's Escape,2024,0,Sonic The Hedgehog,1991,Video game,5.76
Fighter Plane Chase,2023,387,Indiana Jones,1981,Film,2.6
Escape from the Lost Tomb,2023,600,Indiana Jones,1981,Film,2.6
Temple of the Golden Idol,2023,1545,Indiana Jones,1981,Film,2.6
Corporate Alliance Tank Droid,2009,216,Star Wars,1977,Film,46.7
Echo Base,2009,155,Star Wars,1977,Film,46.7
Ahsoka's Starfighter and Vulture Droid,2009,291,Star Wars,1977,Film,46.7
Count Dooku's Solar Sailer,2009,385,Star Wars,1977,Film,46.7
Pirate Tank,2009,372,Star Wars,1977,Film,46.7
Home One Mon Calamari Star Cruiser - Limited Edition,2009,789,Star Wars,1977,Film,46.7
Midi-Scale Millennium Falcon,2009,356,Star Wars,1977,Film,46.7
The Batman Dragster: Catwoman Pursuit,2006,93,Batman,1939,Comic book,29.6
The Batboat: Hunt for Killer Croc,2006,195,Batman,1939,Comic book,29.6
The Batmobile: Two-Face's Escape,2006,393,Batman,1939,Comic book,29.6
The Batwing: The Joker's Aerial Assault,2006,530,Batman,1939,Comic book,29.6
The Batcave: The Penguin and Mr. Freeze's Invasion,2006,1091,Batman,1939,Comic book,29.6
Arkham Asylum,2006,869,Batman,1939,Comic book,29.6
The Batcopter: The Chase for the Scarecrow,2007,300,Batman,1939,Comic book,29.6
The Bat-Tank: The Riddler and Bane's Hideout,2007,652,Batman,1939,Comic book,29.6
Lotso's Dump Truck,2010,129,Toy Story,1995,Animated film,14.8
Sith Trooper Bust,2019,484,Star Wars,1977,Film,46.7
Captain Marvel and the Asis,2019,280,Marvel,2008,Film,32.2
The Dark Knight of Gotham City,2019,427,Batman,1939,Comic book,29.6
Nebulon-B Frigate,2020,459,Star Wars,1977,Film,46.7
Taskmaster's Ambush,2020,230,Marvel,2008,Film,32.2
Toad's Special Hideaway Expansion Set,2020,121,Super Mario,1981,Video game,8.6
Mace Windu's Jedi Starfighter,2011,309,Star Wars,1977,Film,46.7
Battle for Geonosis,2011,335,Star Wars,1977,Film,46.7
Naboo Starfighter,2011,318,Star Wars,1977,Film,46.7
Hoth Echo Base,2011,773,Star Wars,1977,Film,46.7
Batman's Buggy: The Escape of Mr. Freeze,2008,76,Batman,1939,Comic book,29.6
Robin's Scuba Jet: Attack of The Penguin,2008,208,Batman,1939,Comic book,29.6
The Batcycle: Harley Quinn's Hammer Truck,2008,274,Batman,1939,Comic book,29.6
The Tumbler: Joker's Ice Cream Surprise,2008,457,Batman,1939,Comic book,29.6
The Wizard Battle,2013,113,The Lord of the Rings,1937,Novel,6.84
The Council of Elrond,2013,243,The Lord of the Rings,1937,Novel,6.84
Battle at the Black Gate,2013,656,The Lord of the Rings,1937,Novel,6.84
Pirate Ship Ambush,2013,756,The Lord of the Rings,1937,Novel,6.84
Kraang Lab Escape,2013,90,Teenage Mutant Ninja Turtles,1984,Comic book,17.4
Shredder's Dragon Bike,2013,198,Teenage Mutant Ninja Turtles,1984,Comic book,17.4
Stealth Shell in Pursuit,2013,162,Teenage Mutant Ninja Turtles,1984,Comic book,17.4
Turtle Lair Attack,2013,488,Teenage Mutant Ninja Turtles,1984,Comic book,17.4
The Shellraiser Street Chase,2013,620,Teenage Mutant Ninja Turtles,1984,Comic book,17.4
The Shellraiser Street Chase V2.0,2013,651,Teenage Mutant Ninja Turtles,1984,Comic book,17.4
